Format Version,1.21,Take Name,Take 2022-02-08 06.47.42 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-02-08 06.47.42.720 PM,Total Frames in Take,64656,Total Exported Frames,5775,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:100,Unlabeled:100,Unlabeled:100,Unlabeled:101,Unlabeled:101,Unlabeled:101,Unlabeled:102,Unlabeled:102,Unlabeled:102
,,"8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357066","8392B20CF49E357066","8392B20CF49E357066"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z
1119,9.325000,-0.501281,0.175881,-0.158708,-0.500355,0.152181,-0.255913,-0.497771,0.363050,-0.045891
1120,9.333333,-0.501278,0.175809,-0.158710,-0.500351,0.152192,-0.255931,-0.497761,0.362988,-0.045920
1121,9.341667,-0.501279,0.175721,-0.158702,-0.500355,0.152191,-0.255931,-0.497771,0.362900,-0.045910
1122,9.350000,-0.501291,0.175617,-0.158679,-0.500352,0.152196,-0.255939,-0.497760,0.362802,-0.045909
1123,9.358333,-0.501282,0.175528,-0.158688,-0.500352,0.152197,-0.255948,-0.497750,0.362710,-0.045966
1124,9.366667,-0.501286,0.175414,-0.158670,-0.500351,0.152201,-0.255949,-0.497756,0.362597,-0.045954
1125,9.375000,-0.501278,0.175314,-0.158679,-0.500354,0.152194,-0.255960,-0.497740,0.362503,-0.045982
1126,9.383333,-0.501274,0.175233,-0.158686,-0.500351,0.152191,-0.255960,-0.497727,0.362409,-0.046017
1127,9.391667,-0.501275,0.175138,-0.158676,-0.500350,0.152198,-0.255977,-0.497720,0.362321,-0.046030
1128,9.400000,-0.501263,0.175061,-0.158671,-0.500343,0.152194,-0.255973,-0.497698,0.362246,-0.046079
1129,9.408333,-0.501256,0.174985,-0.158677,-0.500349,0.152191,-0.255981,-0.497704,0.362159,-0.046064
1130,9.416667,-0.501253,0.174895,-0.158657,-0.500352,0.152185,-0.255963,-0.497710,0.362082,-0.046042
1131,9.425000,-0.501249,0.174839,-0.158669,-0.500349,0.152185,-0.255958,-0.497704,0.362028,-0.046068
1132,9.433333,-0.501252,0.174760,-0.158674,-0.500350,0.152195,-0.255953,-0.497723,0.361947,-0.046037
1133,9.441667,-0.501244,0.174707,-0.158693,-0.500354,0.152175,-0.255924,-0.497724,0.361882,-0.046054
1134,9.450000,-0.501251,0.174629,-0.158670,-0.500350,0.152187,-0.255924,-0.497726,0.361814,-0.046036
1135,9.458333,-0.501248,0.174549,-0.158681,-0.500351,0.152199,-0.255932,-0.497732,0.361726,-0.046011
1136,9.466667,-0.501255,0.174566,-0.158597,-0.500352,0.152196,-0.255933,-0.497740,0.361643,-0.045995
1137,9.475000,-0.501257,0.174436,-0.158582,-0.500355,0.152202,-0.255941,-0.497742,0.361548,-0.045970
1138,9.483333,-0.501255,0.174346,-0.158586,-0.500352,0.152194,-0.255923,-0.497740,0.361462,-0.045981
